Date,Prod_Total,Consump_Total,US_inv,OECD_inv
1/1/09,84.45,84.1,1044,2714
2/1/09,84.45,84.1,1044,2714
3/1/09,84.45,84.1,1044,2714
4/1/09,84.45,84.1,1044,2714
5/1/09,84.45,84.1,1044,2714
6/1/09,84.45,84.1,1044,2714
7/1/09,84.45,84.1,1044,2714
8/1/09,84.45,84.1,1044,2714
9/1/09,84.45,84.1,1044,2714
10/1/09,84.45,84.1,1044,2714
11/1/09,84.45,84.1,1044,2714
12/1/09,84.45,84.1,1044,2714
13/1/09,84.45,84.1,1044,2714
14/1/09,84.45,84.1,1044,2714
15/1/09,84.45,84.1,1044,2714
16/1/09,84.45,84.1,1044,2714
17/1/09,84.45,84.1,1044,2714
18/1/09,84.45,84.1,1044,2714
19/1/09,84.45,84.1,1044,2714
20/1/09,84.45,84.1,1044,2714
21/1/09,84.45,84.1,1044,2714
22/1/09,84.45,84.1,1044,2714
23/1/09,84.45,84.1,1044,2714
24/1/09,84.45,84.1,1044,2714
25/1/09,84.45,84.1,1044,2714
26/1/09,84.45,84.1,1044,2714
27/1/09,84.45,84.1,1044,2714
28/1/09,84.45,84.1,1044,2714
29/1/09,84.45,84.1,1044,2714
30/1/09,84.45,84.1,1044,2714
31/1/09,84.45,84.1,1044,2714
1/2/09,85.12,85.53,1053,2724
2/2/09,85.12,85.53,1053,2724
3/2/09,85.12,85.53,1053,2724
4/2/09,85.12,85.53,1053,2724
5/2/09,85.12,85.53,1053,2724
6/2/09,85.12,85.53,1053,2724
7/2/09,85.12,85.53,1053,2724
8/2/09,85.12,85.53,1053,2724
9/2/09,85.12,85.53,1053,2724
10/2/09,85.12,85.53,1053,2724
11/2/09,85.12,85.53,1053,2724
12/2/09,85.12,85.53,1053,2724
13/2/09,85.12,85.53,1053,2724
14/2/09,85.12,85.53,1053,2724
15/2/09,85.12,85.53,1053,2724
16/2/09,85.12,85.53,1053,2724
17/2/09,85.12,85.53,1053,2724
18/2/09,85.12,85.53,1053,2724
19/2/09,85.12,85.53,1053,2724
20/2/09,85.12,85.53,1053,2724
21/2/09,85.12,85.53,1053,2724
22/2/09,85.12,85.53,1053,2724
23/2/09,85.12,85.53,1053,2724
24/2/09,85.12,85.53,1053,2724
25/2/09,85.12,85.53,1053,2724
26/2/09,85.12,85.53,1053,2724
27/2/09,85.12,85.53,1053,2724
28/2/09,85.12,85.53,1053,2724
1/3/09,84.96,85.67,1071,2733
2/3/09,84.96,85.67,1071,2733
3/3/09,84.96,85.67,1071,2733
4/3/09,84.96,85.67,1071,2733
5/3/09,84.96,85.67,1071,2733
6/3/09,84.96,85.67,1071,2733
7/3/09,84.96,85.67,1071,2733
8/3/09,84.96,85.67,1071,2733
9/3/09,84.96,85.67,1071,2733
10/3/09,84.96,85.67,1071,2733
11/3/09,84.96,85.67,1071,2733
12/3/09,84.96,85.67,1071,2733
13/3/09,84.96,85.67,1071,2733
14/3/09,84.96,85.67,1071,2733
15/3/09,84.96,85.67,1071,2733
16/3/09,84.96,85.67,1071,2733
17/3/09,84.96,85.67,1071,2733
18/3/09,84.96,85.67,1071,2733
19/3/09,84.96,85.67,1071,2733
20/3/09,84.96,85.67,1071,2733
21/3/09,84.96,85.67,1071,2733
22/3/09,84.96,85.67,1071,2733
23/3/09,84.96,85.67,1071,2733
24/3/09,84.96,85.67,1071,2733
25/3/09,84.96,85.67,1071,2733
26/3/09,84.96,85.67,1071,2733
27/3/09,84.96,85.67,1071,2733
28/3/09,84.96,85.67,1071,2733
29/3/09,84.96,85.67,1071,2733
30/3/09,84.96,85.67,1071,2733
31/3/09,84.96,85.67,1071,2733
1/4/09,85.36,84.9,1079,2731
2/4/09,85.36,84.9,1079,2731
3/4/09,85.36,84.9,1079,2731
4/4/09,85.36,84.9,1079,2731
5/4/09,85.36,84.9,1079,2731
6/4/09,85.36,84.9,1079,2731
7/4/09,85.36,84.9,1079,2731
8/4/09,85.36,84.9,1079,2731
9/4/09,85.36,84.9,1079,2731
10/4/09,85.36,84.9,1079,2731
11/4/09,85.36,84.9,1079,2731
12/4/09,85.36,84.9,1079,2731
13/4/09,85.36,84.9,1079,2731
14/4/09,85.36,84.9,1079,2731
15/4/09,85.36,84.9,1079,2731
16/4/09,85.36,84.9,1079,2731
17/4/09,85.36,84.9,1079,2731
18/4/09,85.36,84.9,1079,2731
19/4/09,85.36,84.9,1079,2731
20/4/09,85.36,84.9,1079,2731
21/4/09,85.36,84.9,1079,2731
22/4/09,85.36,84.9,1079,2731
23/4/09,85.36,84.9,1079,2731
24/4/09,85.36,84.9,1079,2731
25/4/09,85.36,84.9,1079,2731
26/4/09,85.36,84.9,1079,2731
27/4/09,85.36,84.9,1079,2731
28/4/09,85.36,84.9,1079,2731
29/4/09,85.36,84.9,1079,2731
30/4/09,85.36,84.9,1079,2731
1/5/09,85.31,83.85,1091,2737
2/5/09,85.31,83.85,1091,2737
3/5/09,85.31,83.85,1091,2737
4/5/09,85.31,83.85,1091,2737
5/5/09,85.31,83.85,1091,2737
6/5/09,85.31,83.85,1091,2737
7/5/09,85.31,83.85,1091,2737
8/5/09,85.31,83.85,1091,2737
9/5/09,85.31,83.85,1091,2737
10/5/09,85.31,83.85,1091,2737
11/5/09,85.31,83.85,1091,2737
12/5/09,85.31,83.85,1091,2737
13/5/09,85.31,83.85,1091,2737
14/5/09,85.31,83.85,1091,2737
15/5/09,85.31,83.85,1091,2737
16/5/09,85.31,83.85,1091,2737
17/5/09,85.31,83.85,1091,2737
18/5/09,85.31,83.85,1091,2737
19/5/09,85.31,83.85,1091,2737
20/5/09,85.31,83.85,1091,2737
21/5/09,85.31,83.85,1091,2737
22/5/09,85.31,83.85,1091,2737
23/5/09,85.31,83.85,1091,2737
24/5/09,85.31,83.85,1091,2737
25/5/09,85.31,83.85,1091,2737
26/5/09,85.31,83.85,1091,2737
27/5/09,85.31,83.85,1091,2737
28/5/09,85.31,83.85,1091,2737
29/5/09,85.31,83.85,1091,2737
30/5/09,85.31,83.85,1091,2737
31/5/09,85.31,83.85,1091,2737
1/6/09,85.6,86.62,1102,2748
2/6/09,85.6,86.62,1102,2748
3/6/09,85.6,86.62,1102,2748
4/6/09,85.6,86.62,1102,2748
5/6/09,85.6,86.62,1102,2748
6/6/09,85.6,86.62,1102,2748
7/6/09,85.6,86.62,1102,2748
8/6/09,85.6,86.62,1102,2748
9/6/09,85.6,86.62,1102,2748
10/6/09,85.6,86.62,1102,2748
11/6/09,85.6,86.62,1102,2748
12/6/09,85.6,86.62,1102,2748
13/6/09,85.6,86.62,1102,2748
14/6/09,85.6,86.62,1102,2748
15/6/09,85.6,86.62,1102,2748
16/6/09,85.6,86.62,1102,2748
17/6/09,85.6,86.62,1102,2748
18/6/09,85.6,86.62,1102,2748
19/6/09,85.6,86.62,1102,2748
20/6/09,85.6,86.62,1102,2748
21/6/09,85.6,86.62,1102,2748
22/6/09,85.6,86.62,1102,2748
23/6/09,85.6,86.62,1102,2748
24/6/09,85.6,86.62,1102,2748
25/6/09,85.6,86.62,1102,2748
26/6/09,85.6,86.62,1102,2748
27/6/09,85.6,86.62,1102,2748
28/6/09,85.6,86.62,1102,2748
29/6/09,85.6,86.62,1102,2748
30/6/09,85.6,86.62,1102,2748
1/7/09,86.42,86.78,1108,2755
2/7/09,86.42,86.78,1108,2755
3/7/09,86.42,86.78,1108,2755
4/7/09,86.42,86.78,1108,2755
5/7/09,86.42,86.78,1108,2755
6/7/09,86.42,86.78,1108,2755
7/7/09,86.42,86.78,1108,2755
8/7/09,86.42,86.78,1108,2755
9/7/09,86.42,86.78,1108,2755
10/7/09,86.42,86.78,1108,2755
11/7/09,86.42,86.78,1108,2755
12/7/09,86.42,86.78,1108,2755
13/7/09,86.42,86.78,1108,2755
14/7/09,86.42,86.78,1108,2755
15/7/09,86.42,86.78,1108,2755
16/7/09,86.42,86.78,1108,2755
17/7/09,86.42,86.78,1108,2755
18/7/09,86.42,86.78,1108,2755
19/7/09,86.42,86.78,1108,2755
20/7/09,86.42,86.78,1108,2755
21/7/09,86.42,86.78,1108,2755
22/7/09,86.42,86.78,1108,2755
23/7/09,86.42,86.78,1108,2755
24/7/09,86.42,86.78,1108,2755
25/7/09,86.42,86.78,1108,2755
26/7/09,86.42,86.78,1108,2755
27/7/09,86.42,86.78,1108,2755
28/7/09,86.42,86.78,1108,2755
29/7/09,86.42,86.78,1108,2755
30/7/09,86.42,86.78,1108,2755
31/7/09,86.42,86.78,1108,2755
1/8/09,86.07,85.55,1092,2764
2/8/09,86.07,85.55,1092,2764
3/8/09,86.07,85.55,1092,2764
4/8/09,86.07,85.55,1092,2764
5/8/09,86.07,85.55,1092,2764
6/8/09,86.07,85.55,1092,2764
7/8/09,86.07,85.55,1092,2764
8/8/09,86.07,85.55,1092,2764
9/8/09,86.07,85.55,1092,2764
10/8/09,86.07,85.55,1092,2764
11/8/09,86.07,85.55,1092,2764
12/8/09,86.07,85.55,1092,2764
13/8/09,86.07,85.55,1092,2764
14/8/09,86.07,85.55,1092,2764
15/8/09,86.07,85.55,1092,2764
16/8/09,86.07,85.55,1092,2764
17/8/09,86.07,85.55,1092,2764
18/8/09,86.07,85.55,1092,2764
19/8/09,86.07,85.55,1092,2764
20/8/09,86.07,85.55,1092,2764
21/8/09,86.07,85.55,1092,2764
22/8/09,86.07,85.55,1092,2764
23/8/09,86.07,85.55,1092,2764
24/8/09,86.07,85.55,1092,2764
25/8/09,86.07,85.55,1092,2764
26/8/09,86.07,85.55,1092,2764
27/8/09,86.07,85.55,1092,2764
28/8/09,86.07,85.55,1092,2764
29/8/09,86.07,85.55,1092,2764
30/8/09,86.07,85.55,1092,2764
31/8/09,86.07,85.55,1092,2764
1/9/09,86.5,86.58,1105,2768
2/9/09,86.5,86.58,1105,2768
3/9/09,86.5,86.58,1105,2768
4/9/09,86.5,86.58,1105,2768
5/9/09,86.5,86.58,1105,2768
6/9/09,86.5,86.58,1105,2768
7/9/09,86.5,86.58,1105,2768
8/9/09,86.5,86.58,1105,2768
9/9/09,86.5,86.58,1105,2768
10/9/09,86.5,86.58,1105,2768
11/9/09,86.5,86.58,1105,2768
12/9/09,86.5,86.58,1105,2768
13/9/09,86.5,86.58,1105,2768
14/9/09,86.5,86.58,1105,2768
15/9/09,86.5,86.58,1105,2768
16/9/09,86.5,86.58,1105,2768
17/9/09,86.5,86.58,1105,2768
18/9/09,86.5,86.58,1105,2768
19/9/09,86.5,86.58,1105,2768
20/9/09,86.5,86.58,1105,2768
21/9/09,86.5,86.58,1105,2768
22/9/09,86.5,86.58,1105,2768
23/9/09,86.5,86.58,1105,2768
24/9/09,86.5,86.58,1105,2768
25/9/09,86.5,86.58,1105,2768
26/9/09,86.5,86.58,1105,2768
27/9/09,86.5,86.58,1105,2768
28/9/09,86.5,86.58,1105,2768
29/9/09,86.5,86.58,1105,2768
30/9/09,86.5,86.58,1105,2768
