Date,Price,Open,High,Low,Volume,Change
"Jan 01, 2019",45.89,45.77,45.95,45.73,-,1.06%
"Dec 31, 2018",45.41,45.22,46.53,44.73,476.97,0.18%
"Dec 28, 2018",45.33,45.44,46.22,44.42,564.39,1.61%
"Dec 27, 2018",44.61,46.58,46.7,44.37,665.59,-3.48%
"Dec 26, 2018",46.22,42.85,47,42.52,698.41,7.09%
"Dec 25, 2018",43.16,43,43.25,42.88,-,1.48%
"Dec 24, 2018",42.53,45.45,46.24,42.36,415.86,-6.71%
"Dec 21, 2018",45.59,46.25,46.77,45.13,694,-0.63%
"Dec 20, 2018",45.88,47.39,47.51,45.67,794.13,-2.80%
"Dec 19, 2018",47.2,45.93,48,45.93,37.16,2.08%
"Dec 18, 2018",46.24,49.16,49.59,45.79,120.1,-7.30%
"Dec 17, 2018",49.88,51.25,51.87,49.01,211.26,-2.58%
"Dec 14, 2018",51.2,52.83,52.95,50.84,526.84,-2.62%
"Dec 13, 2018",52.58,51.2,53.27,50.35,733.63,2.80%
"Dec 12, 2018",51.15,51.95,52.88,50.94,730.81,-0.97%
"Dec 11, 2018",51.65,50.89,52.43,50.7,665.26,1.27%
"Dec 10, 2018",51,52.03,52.81,50.53,733.23,-3.06%
"Dec 07, 2018",52.61,51.76,54.22,50.6,987.72,2.18%
"Dec 06, 2018",51.49,52.93,53.3,50.08,987.27,-2.65%
"Dec 05, 2018",52.89,52.59,54.44,52.16,624.91,-0.68%
"Dec 04, 2018",53.25,53.13,54.55,52.43,738.13,0.57%
"Dec 03, 2018",52.95,52.45,53.85,52.03,758.01,3.97%
"Nov 30, 2018",50.93,51.27,51.79,49.65,796.71,-1.01%
"Nov 29, 2018",51.45,50.31,52.2,49.41,812.72,2.31%
"Nov 28, 2018",50.29,52.09,52.56,50.06,831.69,-2.46%
"Nov 27, 2018",51.56,51.54,52.38,50.3,764.01,-0.14%
"Nov 26, 2018",51.63,50.62,52.25,50.1,663.11,2.40%
"Nov 23, 2018",50.42,54.66,54.82,50.15,1010,-6.66%
"Nov 22, 2018",54.02,54.64,54.82,53.53,-,-1.12%
"Nov 21, 2018",54.63,53.39,55.86,53.39,734.28,2.25%
"Nov 20, 2018",53.43,57.39,57.44,52.77,983.12,-5.87%
"Nov 19, 2018",56.76,56.72,57.33,55.08,33.58,0.53%
"Nov 16, 2018",56.46,56.58,57.96,55.89,159,0.00%
"Nov 15, 2018",56.46,56.02,57.26,55.59,256.5,0.37%
"Nov 14, 2018",56.25,55.27,57.37,55.13,844.7,1.01%
"Nov 13, 2018",55.69,58.88,59.35,54.75,1100,-7.07%
"Nov 12, 2018",59.93,60.7,61.28,58.68,806.22,-0.43%
"Nov 09, 2018",60.19,60.75,60.79,59.26,821.73,-0.79%
"Nov 08, 2018",60.67,61.64,62.42,60.4,764.55,-1.62%
"Nov 07, 2018",61.67,61.74,63.18,61.2,866.63,-0.87%
"Nov 06, 2018",62.21,62.7,63.32,61.31,761.24,-1.41%
"Nov 05, 2018",63.1,62.99,64.14,62.52,609.13,-0.06%
"Nov 02, 2018",63.14,63.5,63.95,62.63,708.91,-0.86%
"Nov 01, 2018",63.69,64.88,65.39,63.11,790.29,-2.48%
"Oct 31, 2018",65.31,66.32,67,64.81,666.49,-1.31%
"Oct 30, 2018",66.18,66.68,67.26,65.33,680.44,-1.28%
"Oct 29, 2018",67.04,67.55,67.95,66.29,477.49,-0.81%
"Oct 26, 2018",67.59,66.95,67.88,66.2,595.21,0.39%
"Oct 25, 2018",67.33,66.36,67.65,65.99,573.1,0.76%
"Oct 24, 2018",66.82,66.17,67.72,66.05,775.96,0.59%
"Oct 23, 2018",66.43,69.55,69.66,65.74,853.27,-3.96%
"Oct 22, 2018",69.17,69.41,69.65,68.27,27.42,0.07%
"Oct 19, 2018",69.12,68.68,69.77,68.56,108.31,0.68%
"Oct 18, 2018",68.65,70.03,70.03,68.47,215.34,-1.58%
"Oct 17, 2018",69.75,72.17,72.43,69.43,651.58,-3.02%
"Oct 16, 2018",71.92,71.72,72.29,71.02,535,0.20%
"Oct 15, 2018",71.78,71.85,72.7,70.85,568.61,0.62%
"Oct 12, 2018",71.34,70.99,72.01,70.64,626.67,0.52%
"Oct 11, 2018",70.97,72.68,72.76,70.51,783.96,-3.01%
"Oct 10, 2018",73.17,74.66,75.08,72.38,652.74,-2.39%
"Oct 09, 2018",74.96,74.21,75.28,74,623.54,0.90%
"Oct 08, 2018",74.29,74.4,74.58,73.07,554.94,-0.07%
"Oct 05, 2018",74.34,74.67,75.22,73.83,613.22,0.01%
"Oct 04, 2018",74.33,76.18,76.47,73.88,687.95,-2.72%
"Oct 03, 2018",76.41,75.12,76.9,74.3,698.82,1.57%
"Oct 02, 2018",75.23,75.42,75.91,74.93,463.62,-0.09%
"Oct 01, 2018",75.3,73.29,75.77,72.95,601.45,2.80%
"Sep 28, 2018",73.25,72.18,73.73,71.88,544.05,1.57%
"Sep 27, 2018",72.12,72.01,72.6,71.71,454.55,0.77%
"Sep 26, 2018",71.57,72.09,72.38,71.47,464.46,-0.98%
"Sep 25, 2018",72.28,72.25,72.78,71.89,551.28,0.28%
"Sep 24, 2018",72.08,71.14,72.74,71.14,576.89,1.84%
"Sep 21, 2018",70.78,70.2,71.8,69.98,855.94,-0.03%
"Sep 20, 2018",70.8,71.39,71.81,70.73,28.4,-0.45%
"Sep 19, 2018",71.12,69.71,71.5,69.65,125.21,1.82%
"Sep 18, 2018",69.85,68.8,70.42,68.53,234.2,1.36%
"Sep 17, 2018",68.91,68.93,69.72,68.53,422.29,-0.12%
"Sep 14, 2018",68.99,68.79,69.91,67.94,611.08,0.58%
"Sep 13, 2018",68.59,70.24,70.28,68.35,684.94,-2.53%
"Sep 12, 2018",70.37,69.89,71.26,69.5,800.54,1.62%
"Sep 11, 2018",69.25,67.53,70.01,67.48,676.87,2.53%
"Sep 10, 2018",67.54,67.82,68.52,67.33,571.17,-0.31%
"Sep 07, 2018",67.75,67.88,68.08,66.86,530.9,-0.03%
"Sep 06, 2018",67.77,68.64,69.02,67,633.82,-1.38%
"Sep 05, 2018",68.72,69.43,69.59,68.56,542.1,-1.65%
"Sep 04, 2018",69.87,69.89,71.4,69.08,785.98,-0.36%
"Sep 03, 2018",70.12,69.91,70.2,69.54,-,0.29%
"Sep 02, 2018",69.92,69.91,69.99,69.88,-,0.17%
"Aug 31, 2018",69.8,70.06,70.36,69.64,419.74,-0.64%
"Aug 30, 2018",70.25,69.71,70.5,69.55,445.58,1.06%
"Aug 29, 2018",69.51,68.54,69.76,68.37,497.1,1.43%
"Aug 28, 2018",68.53,68.93,69.2,68.21,426.83,-0.49%
"Aug 27, 2018",68.87,68.57,68.97,68.34,332.61,0.22%
"Aug 24, 2018",68.72,67.9,69.31,67.78,517.8,1.31%
"Aug 23, 2018",67.83,68.07,68.12,67.32,450.69,-0.04%
"Aug 22, 2018",67.86,66.08,68.15,65.98,581.9,0.76%
"Aug 21, 2018",67.35,66.62,68.1,66.52,27.15,1.38%
"Aug 20, 2018",66.43,65.91,66.68,65.59,112.71,0.79%
"Aug 17, 2018",65.91,65.47,66.39,65.3,171.4,0.69%
"Aug 16, 2018",65.46,64.95,65.52,64.43,383.38,0.69%
"Aug 15, 2018",65.01,66.62,66.9,64.51,573.47,-3.03%
"Aug 14, 2018",67.04,67.42,68.37,66.58,538.48,-0.24%
"Aug 13, 2018",67.2,67.78,67.95,65.71,578.22,-0.64%
"Aug 10, 2018",67.63,66.74,67.87,66.14,524.49,1.23%
"Aug 09, 2018",66.81,66.79,67.41,66.49,509.4,-0.19%
"Aug 08, 2018",66.94,69.09,69.37,66.32,760.31,-3.22%
"Aug 07, 2018",69.17,68.9,69.83,68.81,485.03,0.23%
"Aug 06, 2018",69.01,68.65,69.92,68.5,495.61,0.76%
"Aug 03, 2018",68.49,68.99,69.24,67.87,476.62,-0.68%
"Aug 02, 2018",68.96,67.86,69.36,66.92,531.07,1.92%
"Aug 01, 2018",67.66,68.43,68.52,67.31,576.56,-1.60%
"Jul 31, 2018",68.76,70.05,70.22,67.98,519.07,-1.95%
"Jul 30, 2018",70.13,69.01,70.43,68.8,463.01,2.10%
"Jul 27, 2018",68.69,69.58,69.77,68.26,460.45,-1.32%
"Jul 26, 2018",69.61,69.38,69.92,68.92,489.06,0.45%
"Jul 25, 2018",69.3,68.77,69.7,68.2,622.91,1.14%
"Jul 24, 2018",68.52,67.8,69.05,67.56,524.59,0.93%
"Jul 23, 2018",67.89,68.17,69.31,67.6,555.92,-3.65%
"Jul 20, 2018",70.46,69.39,71.1,69.37,25.56,1.44%
"Jul 19, 2018",69.46,69,70.17,67.8,103.22,1.02%
"Jul 18, 2018",68.76,67.61,69.06,67.04,187.31,1.00%
"Jul 17, 2018",68.08,68.03,68.44,67.03,440.73,0.03%
"Jul 16, 2018",68.06,70.52,70.87,67.58,530.48,-4.15%
"Jul 13, 2018",71.01,70.38,71.66,69.84,530.28,0.97%
"Jul 12, 2018",70.33,70.6,71.24,69.23,707.89,-0.07%
"Jul 11, 2018",70.38,74.2,74.26,70.02,861.73,-5.03%
"Jul 10, 2018",74.11,74.04,74.7,73.65,586.83,0.35%
"Jul 09, 2018",73.85,73.87,74.28,72.99,533,0.07%
"Jul 06, 2018",73.8,73.16,74.01,72.14,611.42,1.18%
"Jul 05, 2018",72.94,74.23,74.9,72.53,841.63,-1.61%
"Jul 04, 2018",74.13,74.62,74.76,73.52,-,-0.01%
"Jul 03, 2018",74.14,74.08,75.27,72.73,667.24,0.27%
"Jul 02, 2018",73.94,73.62,74.35,72.51,652.17,-0.28%
"Jun 29, 2018",74.15,73.33,74.46,72.93,602.4,0.95%
"Jun 28, 2018",73.45,72.27,74.03,72.2,717.35,0.95%
"Jun 27, 2018",72.76,70.68,73.06,70.56,775.16,3.16%
"Jun 26, 2018",70.53,68.21,70.91,67.72,848.54,3.60%
"Jun 25, 2018",68.08,68.75,69.44,67.78,816.21,-0.73%
"Jun 22, 2018",68.58,65.93,69.38,65.71,1140,4.64%
"Jun 21, 2018",65.54,65.34,66.22,64.34,760.72,-1.03%
"Jun 20, 2018",66.22,65.11,66.53,65.01,30.65,1.77%
"Jun 19, 2018",65.07,65.82,65.9,64.39,122.65,-1.18%
"Jun 18, 2018",65.85,64.4,65.98,63.59,218.93,1.21%
"Jun 15, 2018",65.06,67,67.09,64.29,512.59,-2.74%
"Jun 14, 2018",66.89,66.62,67.16,66.36,460.17,0.38%
"Jun 13, 2018",66.64,66.01,66.89,65.52,626.4,0.42%
"Jun 12, 2018",66.36,66.05,66.7,65.87,524.41,0.39%
"Jun 11, 2018",66.1,65.56,66.35,64.85,558.28,0.55%
"Jun 08, 2018",65.74,65.98,66.24,65.15,571.22,-0.32%
"Jun 07, 2018",65.95,65.07,66.07,64.81,675.04,1.88%
"Jun 06, 2018",64.73,65.51,65.96,64.27,708.83,-1.21%
