Title,Summary,Date
"The Energy Journal, 1 January 2008, 10751 words, Scholtens, Bert Wang, Lei, (English)",".... In all, we find that the return of oil stocks is positively associated with the return of the market, the increase of the spot crude oil price, and negatively with the firm's book-to-market ratio. The oil firms' sensitivities to the market, the oil price ...",Q1
"Asian News International, 1 January 2008, 607 words, (English)","The daily also predicts that the global crude oil price will breach the 100 dollars per barrel mark and the US economy will skate along the brink of recession in early 2008, but will avoid tipping over the brink.",Q1
"Industrial Environment, 1 January 2008, 943 words, (English)","With crude oil prices pushing towards the $100/barrel barrier, the era of cheap energy has clearly come to an end. While filling station pump prices continue to rise however, help may be at hand for the motorist of the future in the form of ...",Q1
"Reuters News, 10:57, 2 January 2008, 2924 words, (English)","LONDON, Jan 2 (Reuters) - Following are crude oil price formulas for the world's main exporting nations.",Q1
"Reuters News, 16:30, 2 January 2008, 362 words, (English)","The clouds caused by outside markets were limited by the record crude oil price, said Marcelo Paccione, an analyst at ConsulCapital.",Q1
"Industry Updates, 2 January 2008, 299 words, (English)","Rising is a very appropriate word to describe the trend of the international crude oil price in 2007, In the crude oil market in New York, the price started to rise since last January and even got close to $100 per barrel, and it is still running at a high...",Q1
"Bisnis Indonesia, 2 January 2008, 563 words, (English)","Budi explains the perception toward Indonesia's risk recently has been quite resistant, despite the fact that the international crude oil price in the past two months had been hovering at over US$90 per barrel.",Q1
"Bisnis Indonesia, 2 January 2008, 411 words, (English)",...increase to around US$750 per ton in the wake of soaring iron ore price to US$70 per ton and rising transportation cost on skyrocketing crude oil price.,Q1
"The Edge Financial Daily, 2 January 2008, 3291 words, A report by CIMB Economic, (English)","...framework. Our calculations show that the market petrol price would be RM2.47/litre (current price is RM1.92/litre), based on global crude oil price of US$95.64/bbl, without any government subsidies.",Q1
"Xinhua China Money, 2 January 2008, 494 words, Xinhua News Agency, (English)","--First, the international crude oil price would fluctuate at high level and is likely to step up underpinned by tightening supply due to suppliers' political turbulence and U.S. dollar depreciation.",Q1
"Xinhua Electronics News, 2 January 2008, 494 words, Xinhua News Agency, (English)","--First, the international crude oil price would fluctuate at high level and is likely to step up underpinned by tightening supply due to suppliers' political turbulence and U.S. dollar depreciation.",Q1
"Platts Oilgram News, 2 January 2008, 293 words, Vandana Hari, (English)","Vietnam might ask its refined products importers to contribute to a fund that would be used to hedge against volatility in international oil prices, according to a draft regulation circulated by the Ministry of Finance.",Q1
"All Africa, 16:09, 2 January 2008, 1004 words, by Wanjiru Waithaka, (English)",Manufacturers have however warned that higher prices arising from turbulence in the crude oil price and the proposed 120 per cent excise duty on plastic is likely to push up the prices of most consumer goods beyond the reach of buyers and ultimately slow down...,Q1
"AFX Asia, 2 January 2008, 1293 words, (English)",The analysts said plantations and energy-related stocks are expected to lead the market rally again next year as they will continue to benefit from the high crude oil price.,Q1
"MarketWatch, 16:11, 2 January 2008, 1030 words, Lisa Twaronite, MarketWatch, (English)","U.S. stocks ended sharply lower Wednesday, after the ISM report and crude-oil price spike. A brief respite after the Fed minutes proved unsustainable. (RELATED ARTICLE: U.S. stocks fall; Dow poised for worst start of year yet) See Market Snapshot.",Q1
"Mediacom, 17:34, 2 January 2008, 295 words, (English)",3 January 2008 - The Green Party is warning that today's record breaking crude oil price of US$100 per barrel is just the first flirtation in what is going to be a long term relationship with triple digits in an ongoing trend of rising oil prices.,Q1
"Scoop.co.nz, 17:45, 2 January 2008, 313 words, Green Party, (English)",The Green Party is warning that today's record breaking crude oil price of US$100 per barrel is just the first flirtation in what is going to be a long term relationship with triple digits in an ongoing trend of rising oil prices.,Q1
"ET Net News, 19:16, 2 January 2008, 218 words, (English)","Global oil supply will continue to constrain demand and push up prices in 2008. ""OPEC seems content with the rising crude oil price, which means refinery bottlenecks are unlikely to be solved for another nine to 12 months,"" Merrill Lynch said in a report.",Q1
"Financial Times (FT.Com), 3 January 2008, 630 words, John Aglionby in Jakarta and Andrew Wood in Hong Kong, (English)","Analysts believe the bullish trend is likely to continue at least into the second quarter of 2008 unless there is a collapse in the crude oil price, which touched the $100 per barrel level briefly on Wednesday.",Q1
"The Standard, 3 January 2008, 220 words, Kathy Wang, (English)","``OPEC seems content with the rising crude oil price, which means refinery bottlenecks are unlikely to be solved for another nine to 12 months,'' Merrill Lynch said in a report.",Q1
"Poland Business Newswire, 15:01, 3 January 2008, 443 words, (English)","...CENTRAL EUROPE - Warsaw's blue-chip WIG20 index closed up Thursday on the back of combined weak opening, encouraging U.S. data, and a crude oil price retreat, market insiders said, pointing though that uncertainties are still present on the market.",Q1
"Newstalk ZB, 3 January 2008, 120 words, Andrew Scott, (English)",The Greens believe today's record breaking crude oil price is just its first flirtation with triple digits.,Q1
"Contra Costa Times (MCT), 3 January 2008, 1000 words, By Janis Mara, Contra Costa Times, Walnut Creek, Calif., (English)","The $100 jump is ""only a blip,"" said Stephen Schork, publisher of the industry newsletter the Schork Report. ""The market never traded there."" Gas prices will not go up as a result of the crude oil price increase, he predicted.",Q1
"Reuters News, 10:31, 3 January 2008, 333 words, (English)","MARKETS-OIL/100 - Chart detailing crude oil price fluctuations since the 1860's to present day, with U.S. and Brent Crude price chart from 2006. Includes world map showing daily oil consumption by the largest oil-consuming countries. RNGS. (SIN01)",Q1
"Reuters News, 8:53, 3 January 2008, 2924 words, (English)","LONDON, Jan 3 (Reuters) - Following are crude oil price formulas for the world's main exporting nations.",Q1
"Reuters News, 18:26, 3 January 2008, 576 words, (English)","Japan reopens after a New Year holiday break and is expected to fall on concerns about the U.S economy, a firmer yen and the jump in the crude oil price.",Q1
"The Atlanta Journal - Constitution, 3 January 2008, 1279 words, MICHAEL E. KANELL, (English)","The dreaded three-digit level has finally been reached --- if, so far, just briefly. For a single trading moment Wednesday, the global price of oil advanced to $100 a barrel, then quickly retreated as if spooked by the ominous ...",Q1
"Bernama Daily Malaysian News, 3 January 2008, 329 words, (English)",Crude oil price surged to another record high of US$99.62 per barrel yesterday after reaching US$100 per barrel during intraday trade on oil supply concerns from Nigeria.,Q1
"Calgary Herald, 3 January 2008, 880 words, Geoffrey Scotton, (English)","The crude oil price has been up in that close-to-$100 region for quite some time, said Ervin. ""Although it's a significant milestone -- in the minds of some people at least -- it doesn't represent a significant increase from where prices have been for quite...",Q1
"Dow Jones Capital Markets Report, 6:21, 3 January 2008, 770 words, (English)","Provided the $100-to-$101.02 zone caps the advance in the light crude oil price, a minor retracement towards the following support levels seems probable this week: around $98.62, and $98.12, November's peak, followed by $97.50.",Q1
"Central News Agency English News, 3 January 2008, 313 words, (By Yeh Fang-hsun), (English)","...policy to maintain its franchises' competitiveness against the CPC's, while also keeping an eye on the high-flying international crude oil price to determine whether any price adjustment will be needed in the future.",Q1
"Central News Agency English News, 3 January 2008, 415 words, (By Flor Wang), (English)",... with a monthly floating pricing system designed to set oil and fuel prices in the domestic market in reference to international crude oil price.,Q1
"Canada AM, 3 January 2008, 729 words, (English)","Host(s): Seamus O'Regan Guest(s): Patricia Mohr, VP of Economics, Scotiabank O'REGAN: Think about it: in 1999 oil was $15 a barrel. Yesterday, for the first time ever, oil prices reached $100 (US) a barrel. Why this historic ...",Q1
"Daily Mail, 3 January 2008, 629 words, (English)","The U.S. crude oil price soared by more than $4 in New York trading yesterday - a huge leap caused by fears that violence in Africa will disrupt production. In London, tradshowsing of North Sea crude also hit a record, jumping more than $3 to $97 a barrel.",Q1
"Dow Jones Chinese Financial Wire, 2:34, 3 January 2008, 116 words, (English)",NEW DELHI (Dow Jones)--India's Petroleum Minister Murli Deora Thursday said the government is concerned about rising global crude oil prices.,Q1
"Dow Jones Chinese Financial Wire, 6:10, 3 January 2008, 354 words, (English)","OPEC, whose output meets about 40% of the 86 million barrels consumed daily worldwide, can't react to daily crude oil price swings but will study market developments closely throughout Janaury, the officials said.",Q1
"Dow Jones International News, 21:37, 2 January 2008, 260 words, (English)","... expects economic growth for 2008 to slow slightly to 4.7% from 4.8% in 2007. The Bank of Korea also assumed an average imported crude oil price of $81 a barrel for this year, sharply higher than the estimated $69 a barrel average for 2007.",Q1
"Dow Jones International News, 1:54, 3 January 2008, 118 words, (English)",NEW DELHI (Dow Jones)--India's Petroleum Minister Murli Deora Thursday said the government is concerned about rising global crude oil prices.,Q1
"Dow Jones International News, 5:29, 3 January 2008, 364 words, (English)","OPEC, whose output meets about 40% of the 86 million barrels consumed daily worldwide, can't react to daily crude oil price swings but will study market developments closely throughout Janaury, the officials said.",Q1
"Dow Jones International News, 6:05, 3 January 2008, 519 words, (English)","(Adds quotes from ONGC, IOC and background.) NEW DELHI (Dow Jones)--The Indian government is concerned about soaring global crude oil prices, which hit $100 a barrel Wednesday, Petroleum Minister Murli Deora said Thursday, indicating it ...",Q1
"Dow Jones International News, 7:55, 3 January 2008, 619 words, (English)","OPEC, whose output meets about 40% of the 86 million barrels consumed daily worldwide, can't react to daily crude oil price swings but will study market developments closely throughout January, the officials said.",Q1
"Thai News Service, 3 January 2008, 154 words, (English)",The crude oil price stays at 90 USD a barrel while Benzene 95 at 104 USD a barrel. The price of diesel is 111 USD a barrel.,Q1
"The Toronto Star, 3 January 2008, 690 words, Tyler Hamilton, (English)","The crude oil price reached the key psychological milestone yesterday, soaring to triple-digit territory for the first time in its trading history amid concern global production will lag behind demand as consumption in China and India skyrockets.",Q1
"Xinhua News Agency, 3 January 2008, 693 words, (English)",...western monopoly in setting oil prices. They also raised tax rate on western oil companies operating in the region. Consequently the crude oil price rose to 3 dollars per barrel.,Q1
"Global Power Report, 3 January 2008, 261 words, (English)",...billion. The company said the sharp rise in crude oil prices has pushed up the thermal power cost. Earlier the company had factored crude oil price at an average $69/barrel for 2008 but has since then revised it to $75/barrel.,Q1
"Australian Associated Press General News, 3 January 2008, 639 words, (English)","PETROL By Sandra O'Malley and Adam Bennett CANBERRA, Jan 3 AAP - Motorists have been warned to expect to regularly pay $1.50 a litre of petrol as crude oil hit a record $US100 a barrel.",Q1
"Agence France Presse, 2:12, 3 January 2008, 414 words, BUR, (English)","Dealers said the crude oil price surged to 100 US dollars per barrel for the first time, fuelling fears the US economy could tip into recession.",Q1
"Agence France Presse, 4:32, 3 January 2008, 156 words, BUR, (English)","Indonesian share prices closed 0.6 percent lower Thursday, pressured by a fall on Wall Street overnight and a spike in crude oil price to a record 100 dollars a barrel, dealers said.",Q1
"Agence France Presse, 5:07, 3 January 2008, 276 words, BUR, (English)","Oil and gas firm Saag Consolidated benefited from the record crude oil price, surging 85 sen to 6.90 ringgit.",Q1
"AFX Asia, 3 January 2008, 363 words, (English)",''The US manufacturing data had a huge impact on the US market and naturally that was going to take our market down with it. Coupled with that we've got inflationary pressures from rising crude oil price.'',Q1
"AFX Asia, 3 January 2008, 335 words, (English)","SINGAPORE (Thomson Financial) - Shares of Singapore oil rig builders Keppel Corp and SembCorp Marine were lower Thursday after crude oil price rose to a new record above 100 US dollars a barrel, further darkening an already gloomy economic outlook for the world...",Q1
"AFX Asia, 3 January 2008, 642 words, (English)","The spike in the crude oil price also helped push the gold price to fresh 28-year highs overnight. Crude oil and gold prices increase during periods of economic and political instability. A higher crude oil price also increases inflationary pressure, which ...",Q1
"AFX Asia, 3 January 2008, 227 words, (English)",KUALA LUMPUR (Thomson Financial) - Shares of Malaysian budget carrier AirAsia Bhd were lower in late morning trade Thursday on concerns that the surging price of fuel will hit earnings.,Q1
"AFX Asia, 3 January 2008, 250 words, (English)","SYDNEY (Thomson Financial) - Australian shares finished in the red on Thursday, weighed down by major banks and resources stocks, after Wall Street skidded overnight on disappointing manufacturing data and a spike in the crude oil price.",Q1
"AFX Asia, 3 January 2008, 503 words, (English)","SYDNEY (Thomson Financial) - Australian shares finished in the red on Thursday, weighed down by major banks and resources stocks, after Wall Street skidded overnight on disappointing manufacturing data and a spike in the crude oil price.",Q1
"AFX Asia, 3 January 2008, 355 words, (English)","The S&P/ASX 200 closed down 1 pct at 6,290.7, weighed down by major banks and resources stocks, after Wall Street skidded overnight on disappointing manufacturing data and a spike in the crude oil price to 100 usd a barrel for the first time.",Q1
"AFX Asia, 3 January 2008, 205 words, (English)","JAKARTA (Thomson Financial) - Indonesian shares closed lower Thursday, pressured by the fall on Wall Street overnight and the spike in crude oil price to a record 100 dollars a barrel.",Q1
"AFX Asia, 3 January 2008, 231 words, (English)","...plantation, oil-and-gas and industrial stocks helped offset losses elsewhere sparked by Wall Street's steep fall overnight and the crude oil price breaking through 100 US dollars per barrel.",Q1
"AFX Asia, 3 January 2008, 551 words, (English)","...plantation, oil-and-gas and industrial stocks helped offset losses elsewhere sparked by Wall Street's steep fall overnight and the crude oil price breaking through 100 US dollars per barrel.",Q1
"AFX Asia, 3 January 2008, 599 words, (English)","JAKARTA (Thomson Financial) - Indonesian shares closed lower Thursday, pressured by the fall on Wall Street overnight and the spike in the crude oil price to a record 100 dollars a barrel.",Q1
"Associated Press Newswires, 11:28, 3 January 2008, 448 words, By OLIVER KLAUS, DEDEN SUDRAJAT and MAJDOLINE HATOUM, (English)","OPEC, whose output meets about 40 percent of the 86 million barrels consumed daily worldwide, can't react to daily crude oil price swings but will study market developments closely throughout January, the officials said.",Q1
