date, value
11/4/19,2.41
10/4/19,2.41
9/4/19,2.41
8/4/19,2.41
5/4/19,2.41
4/4/19,2.41
3/4/19,2.41
2/4/19,2.41
1/4/19,2.41
29/3/19,2.43
28/3/19,2.41
27/3/19,2.41
26/3/19,2.4
25/3/19,2.4
22/3/19,2.41
21/3/19,2.41
20/3/19,2.41
19/3/19,2.4
18/3/19,2.4
15/3/19,2.4
14/3/19,2.4
13/3/19,2.4
12/3/19,2.4
11/3/19,2.4
8/3/19,2.4
7/3/19,2.4
6/3/19,2.4
5/3/19,2.4
4/3/19,2.4
1/3/19,2.4
28/2/19,2.4
27/2/19,2.4
26/2/19,2.4
25/2/19,2.4
22/2/19,2.4
21/2/19,2.4
20/2/19,2.4
19/2/19,2.4
15/2/19,2.4
14/2/19,2.4
13/2/19,2.4
12/2/19,2.4
11/2/19,2.4
8/2/19,2.4
7/2/19,2.4
6/2/19,2.4
5/2/19,2.4
4/2/19,2.4
1/2/19,2.4
31/1/19,2.4
30/1/19,2.4
29/1/19,2.4
28/1/19,2.4
25/1/19,2.4
24/1/19,2.4
23/1/19,2.4
22/1/19,2.4
18/1/19,2.4
17/1/19,2.4
16/1/19,2.4
15/1/19,2.4
14/1/19,2.4
11/1/19,2.4
10/1/19,2.4
9/1/19,2.4
8/1/19,2.4
7/1/19,2.4
4/1/19,2.4
3/1/19,2.4
2/1/19,2.4
31/12/18,2.4
28/12/18,2.4
27/12/18,2.4
26/12/18,2.4
24/12/18,2.4
21/12/18,2.4
20/12/18,2.4
19/12/18,2.2
18/12/18,2.2
17/12/18,2.2
14/12/18,2.19
13/12/18,2.19
12/12/18,2.19
11/12/18,2.19
10/12/18,2.2
7/12/18,2.19
6/12/18,2.2
5/12/18,2.2
4/12/18,2.2
3/12/18,2.19
30/11/18,2.2
29/11/18,2.2
28/11/18,2.2
27/11/18,2.2
26/11/18,2.2
23/11/18,2.2
21/11/18,2.2
20/11/18,2.2
19/11/18,2.2
16/11/18,2.2
15/11/18,2.2
14/11/18,2.2
13/11/18,2.2
9/11/18,2.19
8/11/18,2.2
7/11/18,2.2
6/11/18,2.2
5/11/18,2.2
2/11/18,2.19
1/11/18,2.2
31/10/18,2.2
