country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
North America ,"36,613.2","36,758.5","35,989.2","36,645.0","36,271.5","38,852.4","39,702.1","40,168.5","40,607.1","38,413.9","49,751.3","46,511.3","46,539.4","44,724.0","43,650.0","39,782.1","37,142.2","35,486.4","33,803.8","36,610.0","36,615.5","35,788.0","36,115.0","34,290.7","33,704.2","34,206.4","34,356.2","32,802.4","33,389.5","32,724.8","32,086.1","31,545.6","29,775.1","28,780.5","27,855.5","27,350.6","27,190.2","26,947.8","27,422.8","25,737.8","26,620.9","26,700.1","26,936.0","26,931.0","26,243.0","26,579.0","26,699.0","26,122.0","26,129.0","23,446.0","24,884.0","33,085.0","37,893.0","37,893.0"
Canada 1,"5,000.0","5,000.0","4,600.0","5,675.0","5,281.0","7,500.0","8,250.0","8,791.8","9,900.0","8,782.0","10,750.0","8,448.3","10,200.0","9,424.2","9,400.0","7,100.0","6,200.0","6,000.0","6,000.0","6,800.0","6,805.5","5,983.0","6,689.0","6,432.7","5,969.2","5,760.4","5,940.2","5,913.4","6,133.5","5,899.8","5,585.1","5,291.6","5,093.1","5,035.5","4,898.5","4,893.6","4,839.2","4,930.8","4,876.8","4,703.8","4,855.9","4,655.1","4,490.0","4,254.0","4,352.0","5,208.0","4,942.0","5,150.0","4,812.0","4,325.0","4,202.0","4,085.0","4,893.0","4,893.0"
United States,"31,613.2","31,758.5","31,389.2","30,970.0","30,990.5","31,352.4","31,452.1","31,376.7","30,707.1","29,631.9","39,001.3","38,063.0","36,339.4","35,299.8","34,250.0","32,682.1","30,942.2","29,486.4","27,803.8","29,810.0","29,810.0","29,805.0","29,426.0","27,858.0","27,735.0","28,446.0","28,416.0","26,889.0","27,256.0","26,825.0","26,501.0","26,254.0","24,682.0","23,745.0","22,957.0","22,457.0","22,351.0","22,017.0","22,546.0","21,034.0","21,765.0","22,045.0","22,446.0","22,677.0","21,891.0","21,371.0","21,757.0","20,972.0","21,317.0","19,121.0","20,682.0","29,000.0","33,000.0","33,000.0"
Latin America ,"25,060.0","24,705.0","24,225.0","24,305.0","25,525.0","25,170.0","27,099.0","26,906.0","28,782.0","29,179.0","26,170.8","30,485.8","31,367.8","29,458.3","30,548.3","36,072.0","32,572.7","40,223.0","41,488.5","57,129.5","74,032.5","84,186.7","89,526.7","90,715.7","92,883.7","118,528.9","119,118.8","121,915.0","121,956.6","121,498.7","122,745.7","125,506.2","130,182.5","131,362.1","131,339.8","132,472.7","138,792.1","140,886.3","123,836.2","125,713.6","122,232.6","124,584.0","118,259.0","117,745.2","119,326.2","118,455.0","124,255.5","137,421.6","207,842.2","246,645.0","332,476.5","335,698.0","336,819.0","338,289.0"
Argentina,"2,200.0","2,400.0","2,400.0","2,300.0","2,000.0","1,900.0","2,905.0","2,905.0","3,100.0","4,000.0","4,500.0","2,500.0","4,900.0","2,500.0","2,346.0","2,465.0","2,300.0","2,503.0","2,400.0","2,400.0","2,464.0","2,426.0","2,429.0","2,450.0","2,349.0","2,316.0","2,233.0","2,246.0","2,280.0","2,168.0","1,570.0","1,683.0","2,017.0","2,217.0","2,253.0","2,386.0","2,588.0","2,621.0","2,753.0","3,071.0","2,974.0","2,879.0","2,821.0","2,675.0","2,478.0","2,320.0","2,468.0","2,587.0","2,616.0","2,520.0","2,504.7","2,505.0","2,805.0","2,820.0"
Brazil,300.0,325.0,300.0,300.0,900.0,500.0,"1,000.0",700.0,850.0,882.0,850.0,"1,000.0",857.0,799.0,775.0,780.0,800.0,880.0,"1,200.0","1,220.0","1,300.0","1,325.1","1,750.0","1,850.0","1,976.0","2,070.0","2,250.0","2,340.0","2,550.0","2,816.0","4,451.1","4,818.5","4,966.0","4,982.3","5,374.6","6,223.2","6,680.8","7,106.0","7,357.0","8,153.0","8,464.0","8,485.0","10,535.0","11,302.0","11,591.0","11,772.0","12,182.0","12,624.0","11,722.0","11,899.0","11,985.0","12,841.0","13,154.0","13,219.0"
Colombia,750.0,750.0,850.0,900.0,"1,200.0","1,500.0","1,700.0","2,000.0","1,700.0","1,750.0","1,675.0","1,663.0","1,500.0","1,432.0",900.0,556.6,825.0,960.0,750.0,710.0,553.7,530.9,610.0,635.1,"1,108.0","1,243.5","1,296.2","1,907.1","2,124.9","1,984.2","1,990.6","1,884.5","3,231.8","3,156.3","3,138.3","2,951.8","2,798.0","2,577.0","2,478.0","2,289.0","1,972.0","1,842.0","1,632.0","1,542.0","1,478.0","1,453.0","1,509.0","1,510.0","1,510.0","1,362.0","1,360.0","1,900.0","2,200.0","2,377.0"
Ecuador,30.0,30.0,25.0,25.0,25.0,20.0,18.0,25.0,325.0,500.0,750.0,"5,748.0","5,750.0","5,675.0","2,500.0","2,450.0","1,700.0","1,640.0","1,170.0","1,100.0","1,100.0",850.0,850.0,860.0,"1,181.1","1,148.0","1,235.1","1,594.3","1,514.9","1,441.6","1,355.2","1,524.3","3,240.0","3,659.8","3,491.2","3,385.3","3,453.0","3,674.0","4,102.0","4,428.0","4,566.0","4,630.0","5,060.0","5,060.0","5,180.0","5,180.0","5,180.0","6,368.0","6,511.0","6,511.0","7,206.0","8,235.0","8,235.0","8,832.0"
Mexico,"2,250.0","2,500.0","2,500.0","2,500.0","2,800.0","2,500.0","2,500.0","2,600.0","5,500.0","6,000.0","3,200.0","4,500.0","2,800.0","3,600.0","3,582.0","9,500.0","7,000.0","14,000.0","16,000.0","31,250.0","47,224.0","56,998.0","56,998.0","57,096.0","56,410.0","55,593.0","54,880.0","54,110.0","53,012.0","51,983.0","51,298.0","50,925.0","51,225.0","50,776.0","49,775.0","48,796.0","48,472.0","47,822.0","28,399.0","28,260.0","24,384.0","25,425.0","17,196.0","16,040.0","14,803.0","13,670.0","12,850.0","12,187.0","10,400.0","10,420.0","10,160.0","10,030.0","10,070.0","10,070.0"
Venezuela,"18,500.0","17,550.0","17,000.0","17,000.0","17,000.0","17,250.0","17,400.0","17,000.0","15,500.0","14,750.0","14,000.0","13,762.0","13,919.0","13,812.0","18,567.0","18,398.0","18,228.0","18,039.0","18,228.0","18,523.0","19,530.0","19,888.0","24,900.0","25,887.0","28,028.0","54,454.0","55,521.0","58,101.0","58,505.0","59,040.0","60,054.0","62,649.0","63,330.0","64,448.0","64,877.0","66,329.0","72,667.0","74,930.8","76,108.4","76,848.1","76,848.1","77,685.0","77,307.0","77,226.2","79,729.2","80,012.0","87,323.6","99,377.4","172,323.0","211,173.2","296,501.1","297,571.0","297,735.0","298,350.0"
Others,"1,030.0","1,150.0","1,150.0","1,280.0","1,600.0","1,500.0","1,576.0","1,676.0","1,807.0","1,297.0","1,195.8","1,312.8","1,641.8","1,640.3","1,878.3","1,922.4","1,719.7","2,201.0","1,740.5","1,926.5","1,860.8","2,168.7","1,989.7","1,937.6","1,831.6","1,704.4","1,703.5","1,616.6","1,969.8","2,065.9","2,026.8","2,021.9","2,172.7","2,122.7","2,430.7","2,401.4","2,133.3","2,155.5","2,638.8","2,664.6","3,024.5","3,638.0","3,708.0","3,900.0","4,067.0","4,048.0","2,742.9","2,768.2","2,760.2","2,759.8","2,759.8","2,616.0","2,620.0","2,621.0"
