caldt,b5ret
20010131,0.013510
20010228,0.011310
20010330,0.008259
20010430,-0.008237
20010531,0.002011
20010629,0.002230
20010731,0.022406
20010831,0.011976
20010928,0.023823
20011031,0.020708
20011130,-0.018299
20011231,-0.009027
20020131,0.003923
20020228,0.011665
20020328,-0.023253
20020430,0.023723
20020531,0.010847
20020628,0.016332
20020731,0.028037
20020830,0.016825
20020930,0.030206
20021031,-0.003478
20021129,-0.017077
20021231,0.028048
20030131,-0.006167
20030228,0.016693
20030331,0.000020
20030430,0.001737
20030530,0.025215
20030630,-0.002791
20030731,-0.030690
20030829,-0.002624
20030930,0.033421
20031031,-0.014593
20031128,-0.000681
20031231,0.010046
20040130,0.005584
20040227,0.012425
20040331,0.011274
20040430,-0.033809
20040528,-0.004927
20040630,0.005570
20040730,0.007603
20040831,0.020377
20040930,0.000598
20041029,0.006911
20041130,-0.014843
20041231,0.007490
20050131,0.000411
20050228,-0.010545
20050331,-0.002861
20050429,0.015349
20050531,0.010154
20050630,0.004573
20050729,-0.015060
20050831,0.015683
20050930,-0.012072
20051031,-0.008743
20051130,0.004314
20051230,0.005806
20060131,-0.002261
20060228,-0.001712
20060331,-0.006159
20060428,-0.001292
20060531,-0.001810
20060630,0.000956
20060731,0.013136
20060831,0.013386
20060929,0.007946
20061031,0.003990
20061130,0.008574
20061229,-0.007490
20070131,-0.000763
20070228,0.015508
20070330,0.003053
20070430,0.004387
20070531,-0.011059
20070629,0.000799
20070731,0.018827
20070831,0.017403
20070928,0.004294
20071031,0.007296
20071130,0.037483
20071231,0.000672
20080131,0.033951
20080229,0.014841
20080331,0.004523
20080430,-0.023902
20080530,-0.015239
20080630,0.007028
20080731,0.007249
20080829,0.008864
20080930,0.009199
20081031,0.010844
20081128,0.045233
20081231,0.023039
20090130,-0.016891
20090227,-0.005036
20090331,0.018724
20090430,-0.016750
20090529,-0.013248
20090630,-0.007311
20090731,0.006035
20090831,0.009517
20090930,0.006463
20091030,0.003621
20091130,0.018421
20091231,-0.027479
20100129,0.018564
20100226,0.004494
20100331,-0.007727
20100430,0.009075
20100528,0.015079
20100630,0.018377
20100730,0.011016
20100831,0.013728
20100930,0.005236
20101029,0.006257
20101130,-0.012155
20101231,-0.022323
20110131,0.006702
20110228,-0.005920
20110331,-0.002384
20110429,0.017115
20110531,0.016184
20110630,0.000608
20110729,0.021177
20110831,0.020564
20110930,0.002422
20111031,0.000677
20111130,0.002623
20111230,0.006518
20120131,0.007973
20120229,-0.005721
20120330,-0.007109
20120430,0.012062
20120531,0.008390
20120629,-0.001385
20120731,0.008221
20120831,0.001074
20120928,0.000245
20121031,-0.003651
20121130,0.007181
20121231,-0.003136
20130131,-0.005317
20130228,0.006808
20130328,0.001281
20130430,0.005781
20130531,-0.014887
20130628,-0.016287
20130731,0.002921
20130830,-0.009388
20130930,0.014959
20131031,0.005137
20131129,0.000810
20131231,-0.015095
20140131,0.014623
20140228,0.001652
20140331,-0.007456
20140430,0.005358
20140530,0.009674
20140630,-0.001924
20140731,-0.003838
20140829,0.008749
20140930,-0.004205
20141031,0.009374
20141128,0.010032
20141231,-0.004644
20150130,0.025385
20150227,-0.014879
20150331,0.008815
20150430,-0.001265
20150529,-0.000934
20150630,-0.005355
20150731,0.007164
20150831,0.000371
20150930,0.012089
20151030,-0.005626
20151130,-0.004427
20151231,-0.002052
20160129,0.022615
20160229,0.006527
20160331,0.003650
20160429,-0.003028
20160531,-0.001997
20160630,0.020241
20160729,-0.000004
20160831,-0.007998
20160930,0.003735
20161031,-0.006222
20161130,-0.023927
20161230,0.000090
20170131,0.002885
20170228,0.000809
20170331,0.003220
20170428,0.007231
20170531,0.004701
20170630,-0.003845
20170731,0.004778
20170831,0.007760
20170929,-0.008855
20171031,-0.001956
20171130,-0.003261
20171229,-0.000897
20180131,-0.012369
20180228,-0.003601
20180329,0.006214
20180430,-0.008743
20180531,0.007578
20180629,0.000589
20180731,-0.002330
20180831,0.007665
20180928,-0.007518
20181031,0.001461
20181130,0.009218
20181231,0.017452
