Title,Summary,Date
"Financial Times (FT.Com), 18 January 2008, 527 words, Roula Khalaf, Simeon Kerr and Roula Khalaf in Abu Dhabi, (English)","Abu Dhabi Investment Authority, the world's largest sovereign wealth fund, has hired Burson-Marsteller, the US public relations company, to handle its communications amid rising scrutiny of petrodollar flows into western economies.",Q1
"Financial Times (FT.Com), 17:22, 29 January 2008, 407 words, By Michiyo Nakamoto in Tokyo, (English)","The Japanese government will on Wednesday unveil plans to securitise about Y400bn ($3.74bn) a year in loans to special public institutions over the next few years as part of a scheme to shrink government assets by Y140,000bn.",Q1
"Financial Times (FT.Com), 0:02, 28 January 2008, 92 words, Sam Jones, (English)","Lawyers for Jérôme Kerviel, the French trader accused by Société Générale of massive fraud, hit back at the bank on Sunday, accusing it of creating a “smokescreen” to divert attention from other losses, reports the FT. The lawyers insisted ...",Q1
"Financial Times (FT.Com), 3:50, 28 January 2008, 577 words, Helen Thomas, (English)","As last week’s official version of events raised as many questions as it answered, Société Générale on Sunday was forced to put out this communique – dubbed an “explanatory note about the exceptional fraud.”",Q1
"Financial Times (FT.Com), 0:35, 21 January 2008, 162 words, Gwen Robinson, (English)","Owners of WestLB were on Sunday night meeting over the future strategy of the German public sector bank, which has been hit by a trading scandal as well as the global credit squeeze. WestLB refused to comment on the details of the ...",Q1
"Financial Times (FT.Com), 3:48, 21 January 2008, 541 words, Helen Thomas, (English)","Surprise! ACA has survived the weekend. The bond insurer, which was last month the first of its ilk to have its top notch credit rating slashed, said late on Sunday that it had convinced its trading partners to give it more time to raise ...",Q1
"Financial Times (FT.Com), 2:44, 29 January 2008, 1026 words, Gwen Robinson, (English)","As Jérôme Kerviel continues his extraordinary metamorphosis into what The Times describes as “something of a global folk hero, with songs, videos and internet sites devoted to him,” the campaign by his lawyers to portray him as the victim ...",Q1
"Financial Times, 7 January 2008, 401 words, Kevin Allison, By KEVIN ALLISON, (English)","An uncertain economic environment is causing companies to take a more sceptical look at new technology investments, according to Anne Mulcahy, chairman and chief executive of Xerox, the US documents company.",Q1
"Financial Times, 19 January 2008, 467 words, Roula Khalaf, By SIMEON KERR and ROULA KHALAF, (English)","Abu Dhabi Investment Authority, the world's largest sovereign wealth fund, has hired Burson-Marsteller, the US public relations company, to handle its communications amid rising scrutiny of petrodollar flows into western economies.",Q1
"Financial Times, 19 January 2008, 535 words, Roula Khalaf, By SIMEON KERR and ROULA KHALAF, (English)","Abu Dhabi Investment Authority, the world's largest sovereign wealth fund, has hired Burson-Marsteller, the US public relations company, to handle its communications amid rising scrutiny of petrodollar flows into western economies.",Q1
"Financial Times, 21 January 2008, 386 words, By JONATHAN BIRCHALL, (English)","US shop workers could find their health insurance premiums being linked to their food-buying habits, if an initiative by a leading supermarket wins acceptance.",Q1
"Financial Times, 21 January 2008, 405 words, By JONATHAN BIRCHALL, (English)","US shoppers could find their health insurance premiums being linked to their food-buying habits, if an innovative initiative by a leading supermarket wins acceptance.",Q1
